year,percent
1949,1.47
1950,2.19
1951,2.18
1952,2.15
1953,4.79
1954,3.21
1955,3.58
1956,5.09
1957,5.21
1958,5.89
1959,6.68
1960,5.86
1961,5.81
1962,6.2
1963,5.68
1964,5.59
1965,7.39
1966,7.17
1967,6.79
1968,6.61
1969,6.15
1970,5.61
1971,5.5
1972,5.37
1973,5.43
1974,5.46
1975,5.01
1976,4.72
1977,4.63
1978,4.48
1979,4.63
1980,4.19
1980,3.82
1981,3.79
1982,3.91
1983,3.48
1984,3.32
1985,3.17
1986,3.54
1987,3.51
1988,3.8
1989,4.36
1990,4.08
1991,4.16
1992,3.94
1993,3.68
1994,4.02
1995,3.95
1996,3.64
1997,4.42
1998,4.82
1999,5.03
